,year,love,know,like,get,baby,let,come,go,want,girl,time,wanna,feel,tell,way,need,good,right,night,think,life,look,thing,man,heart,day,say,away,boy,will,leave,little,hold,turn,find,try,tonight,mind,world,run,eye,dance,long,hear,cause,stop,break,hand,well,bad,bitch,play,real,home,fall,walk,shit,wait,talk,light,body,money,live,friend,dream,lose,stay,hard,shake,new,believe,head,cry,lie,mean,watch,gon,everybody,start,take,rock,high,ride,work,big,got,low,kiss,stand,close,see,hot,make,hit,touch,wish,change,bring,face,sweet
0,1955,10,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1957,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1958,0,1,3,0,1,9,9,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1959,25,17,6,15,20,4,12,23,13,5,4,3,2,15,9,7,2,0,5,1,3,12,6,7,4,6,3,1,1,2,6,11,5,2,1,1,4,3,1,11,3,0,3,3,6,1,2,1,2,6,0,2,0,7,0,1,0,1,0,1,0,0,3,3,23,3,1,0,0,1,0,1,2,0,0,0,0,9,6,4,0,2,0,0,12,1,3,20,2,2,2,0,0,0,2,2,1,3,3,5
4,1960,45,31,7,14,2,7,7,20,2,2,7,0,1,6,3,5,1,7,4,0,1,1,0,9,5,7,4,4,2,8,0,0,5,3,13,3,6,3,8,4,4,10,5,4,8,1,3,2,0,0,0,3,0,9,0,0,0,7,0,1,0,1,1,0,1,2,1,4,4,12,1,0,3,2,0,5,0,0,3,7,0,0,0,14,6,0,0,3,0,1,3,0,0,5,1,0,2,0,0,2
5,1961,47,21,20,7,8,12,21,17,2,12,9,1,1,7,9,0,1,4,17,4,2,8,5,9,12,4,5,13,0,20,3,22,6,7,2,5,4,2,2,5,3,2,8,5,0,3,1,9,0,6,0,0,0,1,15,5,0,1,2,7,0,0,0,2,2,0,3,1,2,4,1,1,19,1,3,2,0,6,6,2,0,0,0,0,40,0,1,9,54,2,2,0,2,0,5,2,1,0,1,2
6,1962,29,26,13,30,78,19,107,19,6,11,5,0,4,9,2,2,6,2,2,1,0,7,10,1,10,14,2,8,8,5,4,12,5,0,2,1,12,1,2,1,0,3,5,2,13,3,0,0,4,0,0,5,0,0,5,3,0,7,0,1,0,1,0,0,3,1,4,0,32,6,2,1,2,0,0,16,0,8,4,4,0,0,0,10,1,1,0,8,3,2,2,0,0,0,0,2,0,3,0,2
7,1963,45,43,16,32,16,11,35,27,22,31,9,1,5,8,13,1,1,4,13,9,0,6,4,7,6,3,25,1,5,1,1,13,18,1,3,3,0,1,0,0,2,9,8,7,12,0,1,16,1,4,0,1,2,4,11,4,0,3,6,1,0,5,8,5,12,2,1,2,0,0,1,3,4,0,2,1,0,10,3,1,0,4,4,4,0,2,1,9,8,4,9,2,1,0,2,4,0,1,0,1
8,1964,137,61,22,76,84,14,22,22,26,39,22,3,23,22,32,44,15,26,39,3,6,15,31,16,12,45,13,35,10,15,26,41,21,7,9,2,1,3,13,5,6,5,9,9,6,18,3,1,4,6,0,8,7,16,3,28,0,5,3,5,0,14,5,5,4,2,11,6,0,10,5,4,7,0,1,0,0,2,7,6,0,11,0,4,4,12,0,11,3,3,16,0,7,0,5,0,0,1,4,17
9,1965,120,53,24,43,80,18,26,31,15,30,59,1,22,26,16,21,11,8,9,21,7,7,7,26,24,18,14,2,2,7,19,9,5,1,8,26,0,6,17,21,7,6,11,8,5,12,13,10,3,2,0,12,2,5,3,6,0,23,5,1,1,2,3,16,2,4,4,5,0,5,25,1,2,1,3,2,0,1,9,1,4,2,2,9,3,7,2,4,0,0,6,1,5,0,3,11,4,4,5,19
