,word
1,love
2,oh
3,know
4,like
5,yeah
6,get
7,baby
8,let
9,come
10,go
11,want
12,girl
13,to
14,time
15,wanna
16,ooh
17,feel
18,tell
19,way
20,need
21,good
22,right
23,night
24,be
25,think
26,na
27,la
28,life
29,look
30,hey
31,thing
32,man
33,heart
34,day
35,say
36,away
37,uh
38,ya
39,boy
40,will
41,leave
42,little
43,hold
44,turn
45,find
46,try
47,tonight
48,mind
49,world
50,run
51,eye
52,dance
53,long
54,hear
55,cause
56,stop
57,break
58,hand
59,well
60,bad
61,ah
62,bitch
63,da
64,play
65,real
66,home
67,fall
68,walk
69,shit
70,wait
71,talk
72,light
73,body
74,money
75,live
76,friend
77,dream
78,lose
79,stay
80,hard
81,fuck
82,nigga
83,shake
84,new
85,believe
86,whoa
87,head
88,cry
89,lie
90,mean
91,watch
92,gon
93,everybody
94,start
95,take
96,rock
97,high
98,yo
99,ride
100,work
101,big
102,got
103,low
104,kiss
105,stand
106,close
107,see
108,hot
109,make
110,hit
111,touch
112,wish
113,change
114,bring
115,face
116,huh
117,sweet
118,yes
119,give
120,niggas
121,place
122,crazy
123,song
124,ayy
125,word
126,true
127,party
128,til
129,miss
130,wrong
131,ass
132,beat
133,inside
134,ha
135,young
136,die
137,people
138,end
139,alright
140,forever
141,woo
142,roll
143,god
144,care
145,doo
146,round
147,remember
148,old
149,somebody
150,hope
151,woman
152,hurt
153,game
154,meet
155,fire
156,damn
157,fly
158,maybe
159,help
160,babe
161,tear
162,free
163,sing
164,woah
165,ask
166,mama
167,rain
168,lady
169,feeling
170,burn
171,fine
172,slow
173,understand
174,door
175,drive
176,soul
177,smile
178,catch
179,city
180,sky
181,cold
182,lover
183,matter
184,lonely
185,music
186,deep
187,pain
188,que
189,sun
190,wake
191,ready
192,sleep
193,blow
194,wild
195,club
196,drop
197,tryna
198,open
199,throw
200,ba
201,star
202,far
203,jump
204,pop
205,fight
206,sound
207,call
208,hate
209,strong
210,shine
211,listen
212,step
213,forget
214,late
215,check
216,mmm
217,pull
218,floor
219,car
220,de
221,spend
222,lookin
223,town
224,nah
225,chance
226,happy
227,pretty
228,lot
229,blue
230,sure
231,bit
232,save
233,arm
234,wonder
235,guess
236,black
237,promise
238,drink
239,easy
240,ai
241,fast
242,pay
243,lil
244,move
245,kind
246,ring
247,hide
248,beautiful
249,set
250,line
251,sit
252,sorry
253,air
254,road
255,street
256,fool
257,ho
258,okay
259,buy
260,gettin
261,fun
262,cool
263,till
264,bed
265,foot
266,keep
267,feelin
268,kick
269,house
270,swear
271,phone
272,room
273,cut
274,heaven
275,morning
276,daddy
277,moment
278,hell
279,control
280,taste
281,diamond
282,today
283,alive
284,boom
285,ay
286,lo
287,honey
288,ohh
289,grow
290,learn
291,kid
292,guy
293,happen
294,tight
295,red
296,eh
297,goodbye
298,reason
299,child
300,summer
301,lip
302,hang
303,straight
304,comin
305,truth
306,send
307,wind
308,hoe
309,kill
310,tryin
311,belong
312,act
313,white
314,livin
315,pussy
316,write
317,dark
318,middle
319,hair
320,thank
321,talkin
322,pass
323,minute
324,stick
325,treat
326,tomorrow
327,wall
328,waste
329,bear
330,knock
331,lord
332,freak
333,sexy
334,bet
335,trust
336,bye
337,pray
338,follow
339,dat
340,thought
341,ground
342,thunder
343,bag
344,sugar
345,soon
346,wear
347,piece
348,lay
349,ice
350,anymore
351,gun
352,breathe
353,number
354,sad
355,worth
356,mad
357,thinkin
358,magic
359,choo
360,apart
361,worry
362,whip
363,shawty
364,win
365,laugh
366,half
367,gold
368,fill
369,bar
370,shot
371,secret
372,memory
373,dead
374,eat
375,funny
376,ma
377,shoot
378,pick
379,fuckin
380,moon
381,chain
382,knee
383,share
384,bop
385,oo
386,smoke
387,dollar
388,sign
389,blind
390,band
391,hoo
392,te
393,use
394,du
395,angel
396,breath
397,brother
398,mess
399,groove
400,makin
401,dick
402,fear
403,reach
404,water
405,plan
406,different
407,dress
408,rest
409,kinda
410,rhythm
411,ey
412,afraid
413,nice
414,type
415,runnin
416,scream
417,hip
418,lead
419,second
420,chick
421,past
422,speak
423,finally
424,sayin
425,carry
426,tired
427,ball
428,outside
429,heat
430,blame
431,cash
432,darling
433,style
434,lock
435,shorty
436,begin
437,bang
438,picture
439,bright
440,fresh
441,clear
442,bum
443,bust
444,clothe
445,build
446,eu
447,fade
448,key
449,mouth
450,mi
451,cup
452,power
453,ahh
454,million
455,bird
456,warm
457,push
458,gang
459,spot
460,school
461,sex
462,perfect
463,bout
464,voice
465,flow
466,thang
467,window
468,jean
469,oooh
470,dj
471,girlfriend
472,radio
473,stare
474,problem
475,hop
476,bottle
477,river
478,gimme
479,doh
480,probably
481,loud
482,rich
483,safe
484,trouble
485,near
486,wit
487,hood
488,beg
489,train
490,great
491,rollin
492,dog
493,mistake
494,drunk
495,scared
496,yea
497,dirty
498,count
499,slide
500,bass
501,dem
502,thousand
503,show
504,bounce
505,mm
506,proof
507,answer
508,sight
509,stone
510,outta
511,clean
512,ticket
513,rule
514,choose
515,mile
516,brand
517,dee
518,trip
519,hour
520,bay
521,hmm
522,shut
523,shoe
524,dumb
525,el
526,grab
527,west
528,block
529,sea
530,everyday
531,special
532,movin
533,left
534,homie
535,son
536,toe
537,glass
538,pretend
539,aa
540,doubt
541,week
542,trippin
543,singin
544,bank
545,figure
546,slip
547,mo
548,read
549,playin
550,lean
551,wave
552,brain
553,fantasy
554,pour
555,peace
556,sell
557,cross
558,dancin
559,booty
560,stuff
561,clap
562,realize
563,dip
564,blood
565,mercy
566,chill
567,suppose
568,country
569,en
570,search
571,hello
572,deal
573,wee
574,handle
575,boogie
576,green
577,crowd
578,brown
579,fallin
580,couple
581,sick
582,queen
583,sweat
584,sittin
585,skin
586,finger
587,tie
588,glad
589,poppin
590,sha
591,story
592,spin
593,fake
594,double
595,ody
596,rise
597,tú
598,king
599,mother
600,joy
601,family
602,chase
603,swing
604,ahead
605,sunshine
606,deny
607,single
608,player
609,steal
610,wine
611,quick
612,momma
613,bump
614,burnin
615,land
616,di
617,em
618,someday
619,lift
620,mountain
621,mirror
622,track
623,motion
624,shame
625,tough
626,thug
627,pocket
628,broken
629,space
630,war
631,bill
632,boo
633,sister
634,roof
635,proud
636,takin
637,un
638,dig
639,pa
640,tellin
641,waitin
642,fame
643,cover
644,pride
645,faith
646,rap
647,remind
648,wide
649,shout
650,bone
651,liveget
652,dime
653,paradise
654,yellow
655,singe
656,hah
657,small
658,sip
659,deserve
660,yesterday
661,quit
662,anybody
663,wet
664,rockin
665,raise
666,one
667,shoulder
668,lately
669,fit
670,dear
671,switch
672,fact
673,rack
674,seat
675,truck
676,simple
677,ear
678,wing
679,stupid
680,edge
681,teach
682,escape
683,corner
684,tree
685,um
686,weak
687,cat
688,color
689,sense
690,wheel
691,thick
692,walkin
693,point
694,desire
