,year,words,count
0,1955,love,10
1,1955,know,0
2,1955,like,1
3,1955,get,0
4,1955,baby,0
5,1955,let,0
6,1955,come,0
7,1955,go,0
8,1955,want,0
9,1955,girl,1
10,1955,time,1
11,1955,wanna,0
12,1955,feel,0
13,1955,tell,0
14,1955,way,1
15,1955,need,0
16,1955,good,0
17,1955,right,0
18,1955,night,1
19,1955,think,0
20,1955,life,0
21,1955,look,1
22,1955,thing,0
23,1955,man,1
24,1955,heart,0
25,1955,day,1
26,1955,say,0
27,1955,away,1
28,1955,boy,4
29,1955,will,0
30,1955,leave,0
31,1955,little,1
32,1955,hold,1
33,1955,turn,0
34,1955,find,1
35,1955,try,0
36,1955,tonight,1
37,1955,mind,0
38,1955,world,0
39,1955,run,0
40,1955,eye,0
41,1955,dance,0
42,1955,long,0
43,1955,hear,0
44,1955,cause,5
45,1955,stop,0
46,1955,break,0
47,1955,hand,0
48,1955,well,0
49,1955,bad,0
50,1955,bitch,0
51,1955,play,0
52,1955,real,0
53,1955,home,0
54,1955,fall,0
55,1955,walk,0
56,1955,shit,0
57,1955,wait,0
58,1955,talk,0
59,1955,light,1
60,1955,body,0
61,1955,money,0
62,1955,live,1
63,1955,friend,0
64,1955,dream,0
65,1955,lose,0
66,1955,stay,0
67,1955,hard,0
68,1955,shake,0
69,1955,new,0
70,1955,believe,0
71,1955,head,1
72,1955,cry,0
73,1955,lie,0
74,1955,mean,0
75,1955,watch,1
76,1955,gon,0
77,1955,everybody,0
78,1955,start,0
79,1955,take,0
80,1955,rock,0
81,1955,high,0
82,1955,ride,1
83,1955,work,1
84,1955,big,0
85,1955,got,0
86,1955,low,0
87,1955,kiss,0
88,1955,stand,0
89,1955,close,0
90,1955,see,0
91,1955,hot,0
92,1955,make,1
93,1955,hit,0
94,1955,touch,0
95,1955,wish,0
96,1955,change,0
97,1955,bring,0
98,1955,face,0
99,1955,sweet,0
100,1957,love,0
101,1957,know,0
102,1957,like,2
103,1957,get,0
104,1957,baby,0
105,1957,let,0
106,1957,come,0
107,1957,go,0
108,1957,want,0
109,1957,girl,0
110,1957,time,20
111,1957,wanna,0
112,1957,feel,0
113,1957,tell,0
114,1957,way,0
115,1957,need,0
116,1957,good,0
117,1957,right,4
118,1957,night,4
119,1957,think,0
120,1957,life,0
121,1957,look,0
122,1957,thing,0
123,1957,man,0
124,1957,heart,0
125,1957,day,0
126,1957,say,0
127,1957,away,4
128,1957,boy,0
129,1957,will,0
130,1957,leave,0
131,1957,little,0
132,1957,hold,0
133,1957,turn,0
134,1957,find,0
135,1957,try,0
136,1957,tonight,0
137,1957,mind,0
138,1957,world,0
139,1957,run,0
140,1957,eye,0
141,1957,dance,0
142,1957,long,0
143,1957,hear,0
144,1957,cause,0
145,1957,stop,0
146,1957,break,0
147,1957,hand,0
148,1957,well,0
149,1957,bad,0
150,1957,bitch,0
151,1957,play,0
152,1957,real,0
153,1957,home,0
154,1957,fall,0
155,1957,walk,0
156,1957,shit,0
157,1957,wait,0
158,1957,talk,0
159,1957,light,0
160,1957,body,0
161,1957,money,0
162,1957,live,0
163,1957,friend,0
164,1957,dream,0
165,1957,lose,0
166,1957,stay,0
167,1957,hard,0
168,1957,shake,0
169,1957,new,0
170,1957,believe,0
171,1957,head,0
172,1957,cry,0
173,1957,lie,0
174,1957,mean,0
175,1957,watch,0
176,1957,gon,0
177,1957,everybody,0
178,1957,start,0
179,1957,take,0
180,1957,rock,12
181,1957,high,0
182,1957,ride,0
183,1957,work,0
184,1957,big,0
185,1957,got,0
186,1957,low,0
187,1957,kiss,0
188,1957,stand,0
189,1957,close,0
190,1957,see,0
191,1957,hot,0
192,1957,make,0
193,1957,hit,0
194,1957,touch,0
195,1957,wish,0
196,1957,change,0
197,1957,bring,0
198,1957,face,0
199,1957,sweet,0
200,1958,love,0
201,1958,know,1
202,1958,like,3
203,1958,get,0
204,1958,baby,1
205,1958,let,9
206,1958,come,9
207,1958,go,1
208,1958,want,0
209,1958,girl,0
210,1958,time,0
211,1958,wanna,0
212,1958,feel,0
213,1958,tell,1
214,1958,way,3
215,1958,need,0
216,1958,good,0
217,1958,right,1
218,1958,night,0
219,1958,think,0
220,1958,life,0
221,1958,look,0
222,1958,thing,0
223,1958,man,0
224,1958,heart,3
225,1958,day,1
226,1958,say,0
227,1958,away,1
228,1958,boy,0
229,1958,will,0
230,1958,leave,0
231,1958,little,0
232,1958,hold,0
233,1958,turn,0
234,1958,find,0
235,1958,try,3
236,1958,tonight,0
237,1958,mind,0
238,1958,world,0
239,1958,run,0
240,1958,eye,0
241,1958,dance,0
242,1958,long,0
243,1958,hear,6
244,1958,cause,0
245,1958,stop,3
246,1958,break,0
247,1958,hand,0
248,1958,well,0
249,1958,bad,0
250,1958,bitch,0
251,1958,play,0
252,1958,real,0
253,1958,home,6
254,1958,fall,0
255,1958,walk,0
256,1958,shit,0
257,1958,wait,0
258,1958,talk,0
259,1958,light,0
260,1958,body,0
261,1958,money,0
262,1958,live,0
263,1958,friend,0
264,1958,dream,0
265,1958,lose,0
266,1958,stay,0
267,1958,hard,0
268,1958,shake,0
269,1958,new,6
270,1958,believe,0
271,1958,head,0
272,1958,cry,1
273,1958,lie,0
274,1958,mean,0
275,1958,watch,0
276,1958,gon,0
277,1958,everybody,0
278,1958,start,0
279,1958,take,0
280,1958,rock,0
281,1958,high,0
282,1958,ride,0
283,1958,work,0
284,1958,big,0
285,1958,got,0
286,1958,low,0
287,1958,kiss,0
288,1958,stand,0
289,1958,close,0
290,1958,see,0
291,1958,hot,0
292,1958,make,0
293,1958,hit,0
294,1958,touch,0
295,1958,wish,0
296,1958,change,0
297,1958,bring,0
298,1958,face,0
299,1958,sweet,0
300,1959,love,25
301,1959,know,17
302,1959,like,6
303,1959,get,15
304,1959,baby,20
305,1959,let,4
306,1959,come,12
307,1959,go,23
308,1959,want,13
309,1959,girl,5
310,1959,time,4
311,1959,wanna,3
312,1959,feel,2
313,1959,tell,15
314,1959,way,9
315,1959,need,7
316,1959,good,2
317,1959,right,0
318,1959,night,5
319,1959,think,1
320,1959,life,3
321,1959,look,12
322,1959,thing,6
323,1959,man,7
324,1959,heart,4
325,1959,day,6
326,1959,say,3
327,1959,away,1
328,1959,boy,1
329,1959,will,2
330,1959,leave,6
331,1959,little,11
332,1959,hold,5
333,1959,turn,2
334,1959,find,1
335,1959,try,1
336,1959,tonight,4
337,1959,mind,3
338,1959,world,1
339,1959,run,11
340,1959,eye,3
341,1959,dance,0
342,1959,long,3
343,1959,hear,3
344,1959,cause,6
345,1959,stop,1
346,1959,break,2
347,1959,hand,1
348,1959,well,2
349,1959,bad,6
350,1959,bitch,0
351,1959,play,2
352,1959,real,0
353,1959,home,7
354,1959,fall,0
355,1959,walk,1
356,1959,shit,0
357,1959,wait,1
358,1959,talk,0
359,1959,light,1
360,1959,body,0
361,1959,money,0
362,1959,live,3
363,1959,friend,3
364,1959,dream,23
365,1959,lose,3
366,1959,stay,1
367,1959,hard,0
368,1959,shake,0
369,1959,new,1
370,1959,believe,0
371,1959,head,1
372,1959,cry,2
373,1959,lie,0
374,1959,mean,0
375,1959,watch,0
376,1959,gon,0
377,1959,everybody,9
378,1959,start,6
379,1959,take,4
380,1959,rock,0
381,1959,high,2
382,1959,ride,0
383,1959,work,0
384,1959,big,12
385,1959,got,1
386,1959,low,3
387,1959,kiss,20
388,1959,stand,2
389,1959,close,2
390,1959,see,2
391,1959,hot,0
392,1959,make,0
393,1959,hit,0
394,1959,touch,2
395,1959,wish,2
396,1959,change,1
397,1959,bring,3
398,1959,face,3
399,1959,sweet,5
400,1960,love,45
401,1960,know,31
402,1960,like,7
403,1960,get,14
404,1960,baby,2
405,1960,let,7
406,1960,come,7
407,1960,go,20
408,1960,want,2
409,1960,girl,2
410,1960,time,7
411,1960,wanna,0
412,1960,feel,1
413,1960,tell,6
414,1960,way,3
415,1960,need,5
416,1960,good,1
417,1960,right,7
418,1960,night,4
419,1960,think,0
420,1960,life,1
421,1960,look,1
422,1960,thing,0
423,1960,man,9
424,1960,heart,5
425,1960,day,7
426,1960,say,4
427,1960,away,4
428,1960,boy,2
429,1960,will,8
430,1960,leave,0
431,1960,little,0
432,1960,hold,5
433,1960,turn,3
434,1960,find,13
435,1960,try,3
436,1960,tonight,6
437,1960,mind,3
438,1960,world,8
439,1960,run,4
440,1960,eye,4
441,1960,dance,10
442,1960,long,5
443,1960,hear,4
444,1960,cause,8
445,1960,stop,1
446,1960,break,3
447,1960,hand,2
448,1960,well,0
449,1960,bad,0
450,1960,bitch,0
451,1960,play,3
452,1960,real,0
453,1960,home,9
454,1960,fall,0
455,1960,walk,0
456,1960,shit,0
457,1960,wait,7
458,1960,talk,0
459,1960,light,1
460,1960,body,0
461,1960,money,1
462,1960,live,1
463,1960,friend,0
464,1960,dream,1
465,1960,lose,2
466,1960,stay,1
467,1960,hard,4
468,1960,shake,4
469,1960,new,12
470,1960,believe,1
471,1960,head,0
472,1960,cry,3
473,1960,lie,2
474,1960,mean,0
475,1960,watch,5
476,1960,gon,0
477,1960,everybody,0
478,1960,start,3
479,1960,take,7
480,1960,rock,0
481,1960,high,0
482,1960,ride,0
483,1960,work,14
484,1960,big,6
485,1960,got,0
486,1960,low,0
487,1960,kiss,3
488,1960,stand,0
489,1960,close,1
490,1960,see,3
491,1960,hot,0
492,1960,make,0
493,1960,hit,5
494,1960,touch,1
495,1960,wish,0
496,1960,change,2
497,1960,bring,0
498,1960,face,0
499,1960,sweet,2
500,1961,love,47
501,1961,know,21
502,1961,like,20
503,1961,get,7
504,1961,baby,8
505,1961,let,12
506,1961,come,21
507,1961,go,17
508,1961,want,2
509,1961,girl,12
510,1961,time,9
511,1961,wanna,1
512,1961,feel,1
513,1961,tell,7
514,1961,way,9
515,1961,need,0
516,1961,good,1
517,1961,right,4
518,1961,night,17
519,1961,think,4
520,1961,life,2
521,1961,look,8
522,1961,thing,5
523,1961,man,9
524,1961,heart,12
525,1961,day,4
526,1961,say,5
527,1961,away,13
528,1961,boy,0
529,1961,will,20
530,1961,leave,3
531,1961,little,22
532,1961,hold,6
533,1961,turn,7
534,1961,find,2
535,1961,try,5
536,1961,tonight,4
537,1961,mind,2
538,1961,world,2
539,1961,run,5
540,1961,eye,3
541,1961,dance,2
542,1961,long,8
543,1961,hear,5
544,1961,cause,0
545,1961,stop,3
546,1961,break,1
547,1961,hand,9
548,1961,well,0
549,1961,bad,6
550,1961,bitch,0
551,1961,play,0
552,1961,real,0
553,1961,home,1
554,1961,fall,15
555,1961,walk,5
556,1961,shit,0
557,1961,wait,1
558,1961,talk,2
559,1961,light,7
560,1961,body,0
561,1961,money,0
562,1961,live,0
563,1961,friend,2
564,1961,dream,2
565,1961,lose,0
566,1961,stay,3
567,1961,hard,1
568,1961,shake,2
569,1961,new,4
570,1961,believe,1
571,1961,head,1
572,1961,cry,19
573,1961,lie,1
574,1961,mean,3
575,1961,watch,2
576,1961,gon,0
577,1961,everybody,6
578,1961,start,6
579,1961,take,2
580,1961,rock,0
581,1961,high,0
582,1961,ride,0
583,1961,work,0
584,1961,big,40
585,1961,got,0
586,1961,low,1
587,1961,kiss,9
588,1961,stand,54
589,1961,close,2
590,1961,see,2
591,1961,hot,0
592,1961,make,2
593,1961,hit,0
594,1961,touch,5
595,1961,wish,2
596,1961,change,1
597,1961,bring,0
598,1961,face,1
599,1961,sweet,2
600,1962,love,29
601,1962,know,26
602,1962,like,13
603,1962,get,30
604,1962,baby,78
605,1962,let,19
606,1962,come,107
607,1962,go,19
608,1962,want,6
609,1962,girl,11
610,1962,time,5
611,1962,wanna,0
612,1962,feel,4
613,1962,tell,9
614,1962,way,2
615,1962,need,2
616,1962,good,6
617,1962,right,2
618,1962,night,2
619,1962,think,1
620,1962,life,0
621,1962,look,7
622,1962,thing,10
623,1962,man,1
624,1962,heart,10
625,1962,day,14
626,1962,say,2
627,1962,away,8
628,1962,boy,8
629,1962,will,5
630,1962,leave,4
631,1962,little,12
632,1962,hold,5
633,1962,turn,0
634,1962,find,2
635,1962,try,1
636,1962,tonight,12
637,1962,mind,1
638,1962,world,2
639,1962,run,1
640,1962,eye,0
641,1962,dance,3
642,1962,long,5
643,1962,hear,2
644,1962,cause,13
645,1962,stop,3
646,1962,break,0
647,1962,hand,0
648,1962,well,4
649,1962,bad,0
650,1962,bitch,0
651,1962,play,5
652,1962,real,0
653,1962,home,0
654,1962,fall,5
655,1962,walk,3
656,1962,shit,0
657,1962,wait,7
658,1962,talk,0
659,1962,light,1
660,1962,body,0
661,1962,money,1
662,1962,live,0
663,1962,friend,0
664,1962,dream,3
665,1962,lose,1
666,1962,stay,4
667,1962,hard,0
668,1962,shake,32
669,1962,new,6
670,1962,believe,2
671,1962,head,1
672,1962,cry,2
673,1962,lie,0
674,1962,mean,0
675,1962,watch,16
676,1962,gon,0
677,1962,everybody,8
678,1962,start,4
679,1962,take,4
680,1962,rock,0
681,1962,high,0
682,1962,ride,0
683,1962,work,10
684,1962,big,1
685,1962,got,1
686,1962,low,0
687,1962,kiss,8
688,1962,stand,3
689,1962,close,2
690,1962,see,2
691,1962,hot,0
692,1962,make,0
693,1962,hit,0
694,1962,touch,0
695,1962,wish,2
696,1962,change,0
697,1962,bring,3
698,1962,face,0
699,1962,sweet,2
700,1963,love,45
701,1963,know,43
702,1963,like,16
703,1963,get,32
704,1963,baby,16
705,1963,let,11
706,1963,come,35
707,1963,go,27
708,1963,want,22
709,1963,girl,31
710,1963,time,9
711,1963,wanna,1
712,1963,feel,5
713,1963,tell,8
714,1963,way,13
715,1963,need,1
716,1963,good,1
717,1963,right,4
718,1963,night,13
719,1963,think,9
720,1963,life,0
721,1963,look,6
722,1963,thing,4
723,1963,man,7
724,1963,heart,6
725,1963,day,3
726,1963,say,25
727,1963,away,1
728,1963,boy,5
729,1963,will,1
730,1963,leave,1
731,1963,little,13
732,1963,hold,18
733,1963,turn,1
734,1963,find,3
735,1963,try,3
736,1963,tonight,0
737,1963,mind,1
738,1963,world,0
739,1963,run,0
740,1963,eye,2
741,1963,dance,9
742,1963,long,8
743,1963,hear,7
744,1963,cause,12
745,1963,stop,0
746,1963,break,1
747,1963,hand,16
748,1963,well,1
749,1963,bad,4
750,1963,bitch,0
751,1963,play,1
752,1963,real,2
753,1963,home,4
754,1963,fall,11
755,1963,walk,4
756,1963,shit,0
757,1963,wait,3
758,1963,talk,6
759,1963,light,1
760,1963,body,0
761,1963,money,5
762,1963,live,8
763,1963,friend,5
764,1963,dream,12
765,1963,lose,2
766,1963,stay,1
767,1963,hard,2
768,1963,shake,0
769,1963,new,0
770,1963,believe,1
771,1963,head,3
772,1963,cry,4
773,1963,lie,0
774,1963,mean,2
775,1963,watch,1
776,1963,gon,0
777,1963,everybody,10
778,1963,start,3
779,1963,take,1
780,1963,rock,0
781,1963,high,4
782,1963,ride,4
783,1963,work,4
784,1963,big,0
785,1963,got,2
786,1963,low,1
787,1963,kiss,9
788,1963,stand,8
789,1963,close,4
790,1963,see,9
791,1963,hot,2
792,1963,make,1
793,1963,hit,0
794,1963,touch,2
795,1963,wish,4
796,1963,change,0
797,1963,bring,1
798,1963,face,0
799,1963,sweet,1
800,1964,love,137
801,1964,know,61
802,1964,like,22
803,1964,get,76
804,1964,baby,84
805,1964,let,14
806,1964,come,22
807,1964,go,22
808,1964,want,26
809,1964,girl,39
810,1964,time,22
811,1964,wanna,3
812,1964,feel,23
813,1964,tell,22
814,1964,way,32
815,1964,need,44
816,1964,good,15
817,1964,right,26
818,1964,night,39
819,1964,think,3
820,1964,life,6
821,1964,look,15
822,1964,thing,31
823,1964,man,16
824,1964,heart,12
825,1964,day,45
826,1964,say,13
827,1964,away,35
828,1964,boy,10
829,1964,will,15
830,1964,leave,26
831,1964,little,41
832,1964,hold,21
833,1964,turn,7
834,1964,find,9
835,1964,try,2
836,1964,tonight,1
837,1964,mind,3
838,1964,world,13
839,1964,run,5
840,1964,eye,6
841,1964,dance,5
842,1964,long,9
843,1964,hear,9
844,1964,cause,6
845,1964,stop,18
846,1964,break,3
847,1964,hand,1
848,1964,well,4
849,1964,bad,6
850,1964,bitch,0
851,1964,play,8
852,1964,real,7
853,1964,home,16
854,1964,fall,3
855,1964,walk,28
856,1964,shit,0
857,1964,wait,5
858,1964,talk,3
859,1964,light,5
860,1964,body,0
861,1964,money,14
862,1964,live,5
863,1964,friend,5
864,1964,dream,4
865,1964,lose,2
866,1964,stay,11
867,1964,hard,6
868,1964,shake,0
869,1964,new,10
870,1964,believe,5
871,1964,head,4
872,1964,cry,7
873,1964,lie,0
874,1964,mean,1
875,1964,watch,0
876,1964,gon,0
877,1964,everybody,2
878,1964,start,7
879,1964,take,6
880,1964,rock,0
881,1964,high,11
882,1964,ride,0
883,1964,work,4
884,1964,big,4
885,1964,got,12
886,1964,low,0
887,1964,kiss,11
888,1964,stand,3
889,1964,close,3
890,1964,see,16
891,1964,hot,0
892,1964,make,7
893,1964,hit,0
894,1964,touch,5
895,1964,wish,0
896,1964,change,0
897,1964,bring,1
898,1964,face,4
899,1964,sweet,17
900,1965,love,120
901,1965,know,53
902,1965,like,24
903,1965,get,43
904,1965,baby,80
905,1965,let,18
906,1965,come,26
907,1965,go,31
908,1965,want,15
909,1965,girl,30
910,1965,time,59
911,1965,wanna,1
912,1965,feel,22
913,1965,tell,26
914,1965,way,16
915,1965,need,21
916,1965,good,11
917,1965,right,8
918,1965,night,9
919,1965,think,21
920,1965,life,7
921,1965,look,7
922,1965,thing,7
923,1965,man,26
924,1965,heart,24
925,1965,day,18
926,1965,say,14
927,1965,away,2
928,1965,boy,2
929,1965,will,7
930,1965,leave,19
931,1965,little,9
932,1965,hold,5
933,1965,turn,1
934,1965,find,8
935,1965,try,26
936,1965,tonight,0
937,1965,mind,6
938,1965,world,17
939,1965,run,21
940,1965,eye,7
941,1965,dance,6
942,1965,long,11
943,1965,hear,8
944,1965,cause,5
945,1965,stop,12
946,1965,break,13
947,1965,hand,10
948,1965,well,3
949,1965,bad,2
950,1965,bitch,0
951,1965,play,12
952,1965,real,2
953,1965,home,5
